# шкаф;l1;l2;lo;система
10404;9;1;10;1572(1) 4450(1) 5147(1) 5464(1) 6289(1) 8380(1) 11138(2) 12882(1) 14636(1) 15999(1)
14463;1;9;10;89(2) 91(1) 92(2) 117(2) 153(2) 160(2) 161(2) 3979(2) 3980(2) 9507(2)
23570;4;6;10;1204(1) 2462(2) 4616(2) 5192(2) 6324(1) 6428(2) 6724(2) 6754(1) 10471(1) 10920(2)
27027;3;7;10;2970(1) 5379(1) 8389(2) 8592(2) 10389(2) 11281(2) 12180(2) 12486(1) 13124(2) 14186(2)
24035;8;2;10;220(1) 2849(1) 3126(2) 3127(2) 3499(1) 4010(1) 7189(1) 7356(1) 8301(1) 14310(1)
43459;3;7;10;3905(2) 5625(2) 5747(2) 6489(2) 7297(1) 9935(2) 10417(1) 12008(2) 13993(1) 14321(2)
27043;0;10;10;1531(2) 2948(2) 3390(2) 8993(2) 9253(2) 10514(2) 11539(2) 13035(2) 13958(2) 14912(2)
26914;4;6;10;1547(2) 2924(2) 9333(1) 10611(1) 10700(2) 11199(2) 11568(2) 12409(1) 12947(1) 13908(2)
29684;7;3;10;1172(1) 3175(2) 3996(1) 7269(1) 7280(1) 10062(2) 11808(1) 12686(1) 13926(1) 15704(2)
35411;7;3;10;1734(1) 2157(1) 3363(2) 3552(1) 4345(1) 7010(2) 12832(1) 13948(1) 14184(1) 16002(2)
61169;4;6;10;1072(2) 1703(1) 2349(1) 4048(2) 5332(2) 5688(1) 5781(2) 9154(2) 11602(1) 11820(2)
47339;4;6;10;1455(2) 7249(2) 9281(1) 10162(2) 10163(2) 10164(1) 10367(1) 11475(2) 12289(2) 13508(1)
50279;2;8;10;1410(2) 2654(2) 2863(2) 6481(2) 7240(1) 8933(2) 10103(2) 12264(1) 12566(2) 14458(2)
46031;6;4;10;2383(2) 2670(1) 7518(1) 7664(1) 8918(2) 9494(1) 10583(1) 12650(2) 13419(2) 15271(1)
29847;2;8;10;1128(2) 3712(2) 4210(1) 5848(2) 5849(2) 5850(2) 9127(1) 12440(2) 14532(2) 15944(2)
31385;6;4;10;1686(1) 2959(1) 5774(2) 9116(2) 9410(2) 10748(1) 12088(1) 13354(2) 14174(1) 15123(1)
81677;5;5;10;666(1) 1939(2) 2010(1) 3459(1) 3628(2) 5148(2) 6866(1) 6870(2) 12394(1) 14050(2)
66590;7;3;10;3065(2) 5268(1) 6842(1) 7198(1) 7416(1) 9967(2) 10929(1) 13943(1) 14267(2) 14276(1)
64674;8;2;10;1748(2) 1971(1) 6075(1) 7602(1) 8745(1) 10368(1) 12522(1) 12763(1) 14270(2) 15795(1)
66638;8;2;10;174(2) 3163(1) 4617(1) 5116(1) 5147(1) 10244(2) 12595(1) 12886(1) 15002(1) 15961(1)
67774;8;2;10;2657(1) 6662(2) 7665(1) 8597(1) 10207(2) 11049(1) 11766(1) 13451(1) 14044(1) 15753(1)
68893;8;2;10;1693(1) 3705(2) 8644(1) 8990(1) 10693(2) 11554(1) 12506(1) 13938(1) 15013(1) 15653(1)
70352;7;3;10;1803(1) 5968(1) 7006(1) 8249(1) 9027(1) 9873(2) 10268(2) 10661(1) 11847(2) 13508(1)
46445;6;4;10;706(1) 1284(2) 1753(1) 7589(2) 8570(1) 10320(2) 11422(1) 12886(1) 13621(2) 15216(1)
41455;5;5;10;6581(2) 7802(2) 10030(2) 11462(1) 11922(1) 12832(1) 14411(2) 15107(1) 15519(2) 15848(1)
67132;5;5;10;2477(2) 3406(2) 10315(1) 10929(2) 10930(1) 10932(2) 12870(1) 13038(2) 13132(1) 13508(1)
76391;7;3;10;3674(1) 4589(2) 5020(1) 5290(2) 7477(1) 8425(2) 8876(1) 13004(1) 13835(1) 15985(1)
74385;7;3;10;394(2) 506(2) 4537(1) 6283(1) 7924(1) 8054(2) 11268(1) 13544(1) 14053(1) 14210(1)
92308;5;5;10;7503(1) 7979(1) 9636(2) 9639(2) 10110(1) 10147(2) 11699(2) 14671(1) 15579(2) 15969(1)
63663;7;3;10;5137(1) 7655(1) 11010(2) 11297(2) 11623(1) 14940(1) 14941(1) 14945(2) 15252(1) 15864(1)
42897;7;3;10;7405(2) 7665(1) 8125(1) 8147(2) 8935(1) 12595(1) 12822(1) 12875(1) 15332(2) 15636(1)
48007;8;2;10;1152(1) 3055(1) 4273(1) 10200(1) 10811(1) 11961(1) 12252(2) 13835(1) 14175(1) 15203(2)
48449;8;2;10;2010(1) 2839(2) 3137(1) 3532(2) 7189(1) 7686(1) 12705(1) 12740(1) 14649(1) 14703(1)
48536;5;5;10;1415(2) 1714(2) 5599(2) 10116(1) 10117(2) 10118(1) 11324(1) 12880(1) 14103(2) 14937(1)
56764;6;4;10;1494(2) 1887(1) 5893(2) 8469(1) 8487(1) 9353(2) 11595(2) 12601(1) 12617(1) 15212(1)
74902;7;3;10;1548(1) 1574(2) 4644(1) 5549(2) 6328(1) 8639(1) 12530(1) 13488(2) 15340(1) 15647(1)
78800;6;4;10;1057(1) 1506(2) 3985(1) 6561(2) 7552(1) 8579(1) 9140(1) 10763(1) 12856(2) 15209(2)
81342;7;3;10;2129(1) 2208(1) 5618(1) 7678(1) 8462(1) 9286(2) 10387(2) 12594(1) 13105(2) 13472(1)
81537;6;4;10;1712(2) 2405(1) 4653(1) 5042(1) 7480(1) 9381(2) 10425(2) 11966(1) 13139(2) 14802(1)
82677;5;5;10;1189(2) 1795(2) 4593(1) 7587(2) 8070(1) 8294(1) 9457(2) 11028(1) 11134(2) 12399(1)
83610;8;2;10;361(1) 2387(1) 4873(2) 5339(2) 5597(1) 6638(1) 8781(1) 9526(1) 10642(1) 14155(1)
91254;6;4;10;354(1) 611(1) 1727(1) 1788(2) 1881(2) 1906(2) 4333(1) 4515(2) 8362(1) 11329(1)
86663;7;3;10;454(2) 2075(1) 2560(1) 4779(2) 4993(1) 7107(2) 7410(1) 7718(1) 9498(1) 12118(1)
14879;8;1;9;4165(1) 8541(1) 10720(1) 11977(1) 12198(2) 12805(1) 12883(1) 14420(1) 14640(1)
15358;8;1;9;2065(1) 6534(1) 10192(1) 11671(1) 11943(1) 12632(2) 13487(1) 13601(1) 14408(1)
15944;5;4;9;3608(2) 8628(1) 9747(1) 9848(1) 10563(2) 11081(1) 11382(1) 12047(2) 14520(2)
18871;2;7;9;739(2) 1187(2) 4933(2) 9593(2) 9673(2) 10288(1) 12726(2) 12800(1) 14886(2)
20304;5;4;9;1292(2) 3315(2) 4266(2) 6297(1) 6415(1) 9979(1) 11761(1) 12399(1) 15298(2)
20739;7;2;9;3015(1) 3163(1) 3993(1) 3995(1) 6364(2) 8570(1) 11422(1) 12595(1) 16052(2)
23342;8;1;9;512(2) 4171(1) 4558(1) 4974(1) 6304(1) 6991(1) 7552(1) 9571(1) 11319(1)
24280;8;1;9;90(1) 196(1) 3396(2) 3493(1) 5639(1) 6024(1) 6322(1) 8058(1) 15268(1)
25202;7;2;9;1233(1) 1764(1) 1887(1) 1890(1) 1892(1) 2504(1) 6378(2) 6396(2) 8487(1)
30466;6;3;9;3843(2) 3963(1) 5925(1) 6025(2) 8711(1) 9067(1) 10460(2) 13444(1) 13898(1)
32748;2;7;9;2378(1) 3109(2) 3619(2) 3891(2) 5835(2) 10223(2) 11701(1) 12830(2) 14953(2)
35441;4;5;9;463(1) 3149(2) 4121(1) 4696(2) 5024(2) 8195(1) 11376(1) 12722(2) 13372(2)
25347;4;5;9;10308(2) 10499(1) 11642(2) 12361(1) 12534(1) 13607(2) 14929(2) 15125(1) 15316(2)
27350;1;8;9;2950(2) 4619(2) 6726(2) 10283(2) 10357(2) 10739(2) 11358(1) 13849(2) 14392(2)
31268;1;8;9;2776(2) 6753(2) 7054(2) 7055(1) 7099(2) 11150(2) 12401(2) 14507(2) 15035(2)
34374;4;5;9;2134(1) 3627(1) 6018(1) 7923(2) 8796(2) 9963(2) 10400(1) 12157(2) 15011(2)
36986;2;7;9;473(1) 827(2) 5902(1) 6921(2) 7305(2) 7831(2) 9687(2) 14336(2) 15866(2)
39268;5;4;9;522(1) 2974(2) 3430(1) 3599(2) 4294(1) 6797(2) 7998(1) 14577(1) 15782(2)
41775;4;5;9;2610(2) 9068(1) 9391(1) 9894(1) 10339(2) 13040(2) 13256(1) 14518(2) 14641(2)
53574;5;4;9;284(2) 466(1) 855(1) 6388(1) 8876(2) 10859(2) 11969(1) 14896(1) 15985(2)
54456;4;5;9;825(1) 914(2) 2258(1) 4205(1) 4466(2) 7468(1) 8801(2) 9569(2) 15781(2)
54641;3;6;9;607(2) 974(2) 1268(2) 2336(2) 3465(1) 10674(1) 11256(2) 11669(2) 13319(1)
43822;3;6;9;6756(2) 9486(2) 9496(2) 10038(1) 10451(2) 10531(1) 12577(2) 12716(2) 13344(1)
44373;1;8;9;3161(2) 4047(2) 5436(2) 6282(2) 9622(2) 12970(2) 14258(2) 15836(1) 15968(2)
48336;4;5;9;659(2) 2087(2) 5282(1) 7350(2) 10998(1) 12027(2) 12430(1) 13206(2) 14391(1)
66820;5;4;9;529(2) 4250(2) 7655(1) 7864(1) 10115(2) 10351(1) 14870(1) 14876(1) 15130(2)
76724;2;7;9;987(2) 2251(1) 3267(2) 7691(2) 8231(2) 8637(2) 10226(2) 12040(1) 14914(2)
43249;7;2;9;7533(1) 8543(1) 8822(1) 9203(1) 9374(1) 10892(1) 14159(2) 14422(2) 15837(1)
47213;7;2;9;850(1) 1525(2) 1840(2) 6922(1) 10938(1) 11350(1) 13565(1) 15268(1) 15859(1)
55437;3;6;9;941(2) 4395(2) 5659(1) 6241(2) 7268(1) 7709(2) 12129(2) 12215(1) 12644(2)
62458;5;4;9;2198(1) 2434(2) 3721(2) 3722(2) 3741(1) 4582(2) 7246(1) 7893(1) 12911(1)
64484;7;2;9;1416(2) 3057(1) 7452(1) 10284(2) 11663(1) 12402(1) 14115(1) 15546(1) 15825(1)
65095;5;4;9;3188(1) 4808(2) 7079(1) 11290(1) 11837(1) 12651(2) 13213(2) 13768(2) 15636(1)
65131;6;3;9;1001(2) 4036(1) 6941(1) 7826(1) 8528(2) 10404(1) 11995(1) 14388(2) 15081(1)
66022;7;2;9;1172(1) 5882(1) 8445(1) 11335(1) 11947(1) 12544(2) 12886(1) 13158(2) 13629(1)
72060;7;2;9;1607(1) 1882(1) 4541(2) 4728(2) 5357(1) 7226(1) 13455(1) 14000(1) 15656(1)
46754;0;9;9;2980(2) 6373(2) 7371(2) 8645(2) 9679(2) 10775(2) 10916(2) 12310(2) 15324(2)
50091;7;2;9;1806(1) 2659(1) 7104(2) 10427(1) 11073(1) 12595(1) 12643(1) 12886(1) 13177(2)
55878;7;2;9;3636(1) 4628(1) 5443(1) 5637(1) 6812(1) 7189(1) 8222(2) 9932(2) 13793(1)
59765;3;6;9;2523(2) 3733(1) 4813(2) 4863(2) 5326(2) 5472(1) 7580(2) 8210(1) 11866(2)
62504;5;4;9;315(1) 3063(1) 3322(2) 3445(2) 4378(1) 6080(2) 6579(1) 6802(1) 7156(2)
25558;7;2;9;4447(1) 11505(1) 12661(2) 12828(2) 12883(1) 13310(1) 13508(1) 14146(1) 14969(1)
68308;7;2;9;2992(1) 6116(1) 10053(2) 10685(1) 11662(1) 12380(2) 13897(1) 14226(1) 15490(1)
69370;7;2;9;105(1) 4169(2) 8074(1) 8361(1) 11298(1) 14884(2) 14906(1) 15486(1) 15777(1)
70551;6;3;9;2809(1) 5833(1) 7112(2) 7950(1) 11177(1) 11212(1) 13916(2) 15300(2) 16012(1)
77048;7;2;9;3226(1) 3637(1) 4691(1) 6166(2) 7081(2) 8349(1) 8774(1) 10592(1) 15379(1)
78089;6;3;9;3513(1) 3516(1) 6704(2) 7373(2) 9484(1) 11399(2) 12581(1) 13699(1) 13754(1)
80098;7;2;9;1888(2) 1891(1) 7290(1) 7650(1) 8979(1) 10477(1) 10484(1) 14970(2) 15747(1)
80416;5;4;9;1237(1) 3023(2) 3911(1) 6138(1) 7024(2) 7597(2) 8320(2) 11594(1) 13571(1)
81131;4;5;9;756(2) 926(1) 2148(2) 2814(2) 5872(1) 7889(1) 8334(2) 12359(2) 13471(1)
84558;6;3;9;1023(1) 2548(2) 3819(2) 6869(1) 8910(2) 10681(1) 10876(1) 11345(1) 13475(1)
85389;3;6;9;37(2) 591(2) 1160(1) 2826(2) 5772(2) 7300(1) 12884(2) 14842(2) 14851(1)
89035;4;5;9;1513(2) 2391(1) 2651(1) 6424(1) 7352(2) 8963(2) 12300(2) 12582(2) 14750(1)
96878;6;3;9;4279(2) 4350(1) 5755(1) 6202(2) 6815(2) 9726(1) 11798(1) 12258(1) 15164(1)
41313;4;5;9;8531(1) 9322(2) 9717(1) 12099(2) 12420(1) 15132(2) 15133(2) 15339(2) 15962(1)
41622;7;2;9;8340(1) 9334(1) 12231(1) 12540(2) 13132(1) 13413(1) 13427(1) 13993(1) 15096(2)
60952;7;2;9;666(1) 2009(1) 3622(1) 3636(1) 5148(1) 5515(2) 6866(2) 8579(1) 12394(1)
81258;6;3;9;94(1) 1409(2) 4428(1) 5358(1) 7696(1) 11320(2) 11530(2) 13605(1) 14536(1)
99774;6;3;9;4350(1) 5327(1) 5589(1) 10307(2) 11029(1) 11694(2) 12863(1) 13726(2) 14198(1)
92125;7;2;9;6649(1) 8622(1) 10685(1) 11643(1) 13284(1) 13690(2) 13806(1) 14943(1) 15037(2)
92497;7;2;9;8742(1) 9215(2) 10135(2) 10335(1) 11312(1) 11484(1) 12497(1) 15075(1) 16050(1)
93128;6;3;9;3032(1) 5431(2) 8265(2) 10167(2) 12741(1) 13353(1) 13526(1) 15461(1) 15707(1)
93131;7;2;9;5451(1) 5765(1) 6522(1) 9743(2) 10642(1) 11254(1) 11637(1) 15357(1) 15675(2)
93965;5;4;9;910(1) 2343(2) 2978(1) 4251(2) 11386(1) 11950(1) 12736(2) 13400(1) 13891(2)
94077;6;3;9;7000(1) 7655(1) 8448(1) 9247(2) 10483(1) 11078(1) 11783(1) 12498(2) 13535(2)
94185;7;2;9;6906(2) 7215(1) 7881(1) 8575(1) 9063(1) 12090(1) 12097(1) 14580(2) 15656(1)
94871;5;4;9;369(1) 370(2) 887(1) 9664(1) 10014(1) 11235(2) 14307(2) 14627(1) 14857(2)
95028;7;2;9;4140(2) 6320(1) 8532(1) 9874(1) 10346(1) 10431(2) 10820(1) 13951(1) 14978(1)
95032;7;2;9;7361(2) 7489(1) 7931(1) 8112(1) 10695(1) 10888(1) 10973(2) 11307(1) 13401(1)
95096;7;2;9;920(1) 2311(2) 6374(2) 8210(1) 8983(1) 13330(1) 14359(1) 14896(1) 15216(1)
96359;7;2;9;5216(2) 6621(1) 7335(2) 8358(1) 9206(1) 10161(1) 11035(1) 13373(1) 16007(1)
97028;7;2;9;3241(1) 7792(1) 8262(1) 10361(1) 10706(2) 12789(1) 13041(2) 14108(1) 16027(1)
97469;6;3;9;2716(1) 4409(1) 5344(2) 6816(2) 10285(1) 11332(1) 13508(1) 14286(2) 15297(1)
98877;7;2;9;1385(1) 2637(1) 3549(2) 11547(2) 13412(1) 13508(1) 13706(1) 14133(1) 14838(1)
99077;6;3;9;1540(1) 2389(1) 3324(2) 7815(1) 8167(1) 10035(2) 11014(1) 11584(1) 16049(2)
99240;7;2;9;772(1) 1555(1) 2531(1) 4029(1) 8179(2) 12509(1) 12690(1) 14139(2) 14781(1)
99451;3;6;9;3270(1) 3940(2) 4299(2) 7590(2) 10480(2) 10533(2) 14121(2) 15091(1) 15806(1)
100613;6;3;9;390(1) 934(2) 4212(2) 6043(2) 10178(1) 11229(1) 13194(1) 14622(1) 15756(1)
100645;6;3;9;1307(1) 2691(1) 3516(1) 5563(2) 11087(2) 11120(1) 11158(1) 13132(1) 13219(2)
100996;7;2;9;2606(2) 4643(1) 5622(2) 7081(1) 8007(1) 11231(1) 11967(1) 13632(1) 14276(1)
101037;5;4;9;714(2) 1359(1) 1423(1) 2964(1) 8036(2) 9185(2) 10145(2) 12446(1) 13508(1)
101453;7;2;9;1327(1) 2728(1) 2932(1) 3066(2) 9740(1) 12412(2) 14413(1) 14542(1) 14692(1)
101851;6;3;9;392(2) 1390(2) 1784(1) 6520(1) 7253(1) 7488(1) 9303(1) 13974(2) 14413(1)
102260;7;2;9;4589(1) 5295(2) 5335(1) 6400(1) 9590(1) 11127(1) 11549(2) 12995(1) 14896(1)
103379;4;5;9;1769(2) 2740(2) 4835(1) 8101(1) 9537(1) 9639(1) 10353(2) 10365(2) 11723(2)
105803;7;2;9;1095(1) 1548(1) 3641(1) 4689(1) 6067(1) 6464(2) 10280(1) 11386(2) 14096(1)
107310;4;5;9;214(2) 1623(1) 2301(2) 3938(2) 5324(2) 7225(1) 8070(1) 11855(2) 15525(1)
108882;7;2;9;1076(1) 3034(1) 4589(1) 6449(1) 6493(1) 7769(2) 8243(1) 13433(2) 15034(1)
109654;7;2;9;3681(1) 4606(1) 5028(2) 5255(2) 6063(1) 6759(1) 8550(1) 11171(1) 13013(1)
112329;6;3;9;443(1) 2208(1) 5351(1) 7728(2) 8065(1) 8459(1) 10113(2) 12798(2) 12877(1)
112629;7;2;9;778(1) 2257(2) 2917(1) 4318(1) 6762(2) 8007(1) 9524(1) 13140(1) 14314(1)
112845;7;2;9;2321(1) 3032(1) 3656(1) 4706(1) 5841(1) 6568(2) 9528(1) 10792(1) 12536(2)
64339;7;2;9;848(2) 1482(1) 5316(2) 10933(1) 11491(1) 12262(1) 13359(1) 15216(1) 15721(1)
70733;2;7;9;3105(2) 4925(1) 6778(2) 9335(2) 10036(2) 10797(2) 11634(1) 13078(2) 15526(2)
71871;6;3;9;2180(1) 3807(2) 4429(2) 7539(1) 7541(1) 9484(1) 11566(1) 12041(1) 15434(2)
76603;7;2;9;5126(1) 5364(1) 7656(1) 7824(2) 9117(1) 9499(1) 9980(1) 11294(2) 12304(1)
79138;7;2;9;621(2) 3136(1) 6039(1) 6098(1) 6117(1) 6508(1) 12678(1) 12791(2) 14613(1)
85302;7;2;9;1357(1) 4643(1) 4983(1) 6962(1) 7630(2) 7697(1) 8772(1) 10589(1) 12676(2)
85600;7;2;9;1359(1) 3200(1) 3367(1) 7487(2) 8026(1) 8616(1) 12864(1) 12954(2) 15656(1)
85652;4;5;9;650(2) 1212(1) 3440(1) 4093(2) 6457(1) 9018(2) 9429(2) 10019(2) 10335(1)
94815;4;5;9;1771(2) 4196(2) 4437(1) 8168(2) 11645(2) 14435(1) 14576(1) 14909(2) 14997(1)
100937;5;4;9;619(2) 2088(2) 3505(2) 6654(1) 6897(1) 8288(1) 11099(1) 15231(2) 15456(1)
128739;5;4;9;558(2) 2225(2) 9270(2) 11553(1) 12109(1) 13230(1) 13865(2) 14023(1) 15817(1)
26120;7;1;8;7336(1) 7351(1) 9159(2) 11605(1) 12759(1) 13350(1) 13489(1) 14762(1)
26543;7;1;8;4349(2) 4736(1) 8100(1) 10491(1) 13307(1) 14749(1) 15063(1) 15889(1)
26749;7;1;8;1722(1) 2270(2) 11115(1) 11116(1) 14084(1) 14711(1) 14764(1) 15636(1)
27174;7;1;8;5182(1) 7094(1) 8151(1) 9120(1) 11733(1) 12212(1) 14491(1) 15126(2)
28405;4;4;8;736(1) 4848(2) 5913(2) 8880(1) 12098(2) 15123(1) 15186(2) 15188(1)
28625;7;1;8;7779(1) 7821(1) 7826(1) 9071(1) 9980(1) 11056(1) 11831(1) 11856(2)
28879;7;1;8;334(1) 6844(1) 7046(1) 8711(1) 10000(1) 14052(2) 14486(1) 14820(1)
29036;7;1;8;1749(1) 4154(2) 7614(1) 8220(1) 8644(1) 14910(1) 15102(1) 15422(1)
29267;3;5;8;3963(2) 4978(2) 5925(1) 8711(1) 9067(1) 13444(2) 13898(2) 15079(2)
29696;1;7;8;990(2) 1935(2) 8379(1) 9822(2) 9845(2) 13453(2) 13783(2) 15596(2)
33721;7;1;8;90(1) 2433(1) 5930(2) 6322(1) 6919(1) 10109(1) 15268(1) 15765(1)
34653;7;1;8;22(1) 2089(1) 5548(1) 7518(1) 9166(1) 9494(2) 11159(1) 15271(1)
35484;7;1;8;684(1) 4480(2) 6409(1) 7049(1) 8535(1) 9206(1) 10701(1) 10891(1)
35952;7;1;8;2210(1) 3057(1) 4617(1) 6142(2) 6164(1) 10414(1) 11073(1) 12886(1)
36207;2;6;8;546(2) 5171(2) 6073(2) 6530(2) 7052(1) 7061(2) 8908(2) 14463(1)
36358;7;1;8;676(1) 1605(1) 1628(1) 2554(1) 7664(2) 11704(1) 14679(1) 14826(1)
37121;5;3;8;425(2) 1683(1) 4111(1) 5812(1) 6965(2) 8999(1) 10351(2) 14497(1)
37212;7;1;8;1018(2) 3380(1) 3470(1) 5304(1) 7474(1) 8475(1) 11679(1) 11681(1)
39203;3;5;8;413(2) 803(1) 3781(1) 4051(2) 6668(2) 7033(2) 7644(1) 14132(2)
40344;7;1;8;2285(2) 3553(1) 3748(1) 3749(1) 3754(1) 5902(1) 6953(1) 7278(1)
41341;4;4;8;7377(2) 10056(1) 12165(1) 12180(1) 12816(1) 13521(2) 14513(2) 15486(2)
54225;5;3;8;1370(1) 2546(2) 3335(2) 4572(2) 5530(1) 12458(1) 13549(1) 14185(1)
41975;6;2;8;5511(1) 6370(1) 13286(1) 14065(1) 14213(1) 14215(2) 14216(1) 14246(2)
42346;5;3;8;7362(2) 9690(1) 9691(1) 10450(2) 13502(1) 14190(1) 14522(1) 14718(2)
44179;2;6;8;3268(2) 7226(1) 10406(2) 11418(1) 12348(2) 13043(2) 13539(2) 14503(2)
48905;4;4;8;1847(2) 3774(1) 3901(2) 5277(1) 8778(1) 12802(2) 14180(2) 15462(1)
49550;4;4;8;973(1) 1882(2) 2381(2) 4318(1) 7911(2) 14699(2) 15111(1) 15656(1)
54825;2;6;8;633(2) 834(2) 4438(2) 4760(2) 7944(2) 9576(2) 11553(1) 13010(1)
56644;3;5;8;643(1) 2750(2) 3299(2) 4026(1) 5587(1) 9495(2) 12920(2) 13027(2)
56987;2;6;8;2251(2) 4282(2) 4670(2) 5883(1) 6089(2) 6526(1) 10587(2) 13556(2)
58027;6;2;8;789(2) 1064(1) 4049(2) 5003(1) 7129(1) 8855(1) 9019(1) 10516(1)
73288;5;3;8;925(2) 4824(2) 5830(2) 5901(1) 7797(1) 8782(1) 9209(1) 15806(1)
64030;5;3;8;4559(2) 6786(1) 6915(1) 10602(1) 13250(2) 13704(1) 14862(2) 15125(1)
64165;4;4;8;3658(2) 6466(1) 7213(2) 10032(1) 12166(2) 14604(1) 14608(2) 14614(1)
69036;4;4;8;1436(1) 2282(2) 6537(1) 9937(1) 12338(1) 13782(2) 14495(2) 14622(2)
73177;6;2;8;4356(1) 5745(2) 5746(1) 5747(1) 8374(1) 13377(1) 13378(2) 15864(1)
82198;2;6;8;1383(2) 6201(2) 6358(2) 6493(2) 6756(1) 8109(2) 13065(2) 13098(1)
104864;2;6;8;1648(2) 2315(2) 3770(2) 4491(2) 7708(1) 8233(1) 10262(2) 11759(2)
47668;2;6;8;1403(2) 3735(2) 7645(1) 9015(2) 11868(2) 13788(2) 14244(1) 14492(2)
55073;0;8;8;1090(2) 3237(2) 4083(2) 5177(2) 7277(2) 7844(2) 11950(2) 14869(2)
69011;2;6;8;2586(2) 4906(2) 6538(2) 8457(2) 8779(1) 10014(2) 11634(2) 15626(1)
82571;4;4;8;617(1) 1101(2) 5146(1) 5183(2) 6454(1) 6642(2) 7785(2) 14986(1)
65201;6;2;8;3828(1) 5278(1) 6523(2) 8632(2) 10906(1) 12950(1) 14689(1) 15462(1)
66928;6;2;8;2554(1) 3041(1) 7622(1) 9503(1) 10219(2) 13404(2) 14184(1) 15922(1)
67586;2;6;8;5901(1) 7797(2) 8066(1) 9209(2) 10501(2) 15061(2) 15806(2) 16030(2)
98851;5;3;8;5999(1) 6631(1) 6911(2) 7810(2) 8822(1) 11411(2) 13664(1) 15395(1)
99619;5;3;8;798(1) 1812(1) 7907(2) 9999(2) 10639(1) 11099(2) 12998(1) 14390(1)
91451;5;3;8;8126(2) 8340(1) 10851(1) 11402(1) 13437(2) 14057(2) 14282(1) 15525(1)
97030;6;2;8;2981(2) 4116(1) 4427(2) 4991(1) 8497(1) 11925(1) 14455(1) 16048(1)
97700;6;2;8;4973(2) 4974(1) 4976(1) 6484(1) 7863(1) 10889(1) 13586(1) 14083(2)
97762;6;2;8;301(1) 8007(1) 8656(1) 8782(1) 9763(2) 11168(1) 11569(2) 11583(1)
99960;6;2;8;2925(1) 4315(1) 4654(1) 5327(1) 7167(2) 8681(1) 12813(2) 15870(1)
103560;6;2;8;866(1) 2911(1) 4318(1) 6609(2) 9446(1) 11617(1) 15194(1) 15388(2)
109509;6;2;8;2098(1) 2690(2) 3331(1) 5591(1) 8089(2) 10604(1) 12903(1) 15723(1)
64063;6;2;8;8768(2) 8999(1) 9408(2) 11711(1) 13296(1) 15134(1) 15488(1) 15708(1)
88133;6;2;8;928(1) 1927(1) 2760(1) 3055(1) 4305(1) 8748(2) 13127(1) 13536(2)
91380;4;4;8;4539(2) 10032(1) 11643(1) 14000(1) 14393(2) 14779(1) 15589(2) 15591(2)
113161;5;3;8;2344(2) 3220(2) 4705(1) 6110(1) 8359(1) 9600(2) 12772(1) 13413(1)
92567;5;3;8;2912(1) 12018(2) 12572(2) 12987(1) 13812(2) 14638(1) 15046(1) 15047(1)
91619;6;2;8;521(2) 10020(1) 10027(1) 10977(2) 14018(1) 14814(1) 14832(1) 15724(1)
92467;6;2;8;1941(2) 4439(1) 5925(1) 12739(1) 12914(1) 13977(1) 15224(1) 15303(2)
96188;6;2;8;3408(1) 4964(1) 6984(2) 7192(1) 10028(1) 14366(2) 14687(1) 14779(1)
96295;6;2;8;264(1) 1829(2) 10777(2) 10988(1) 11798(1) 13285(1) 15675(1) 15909(1)
100816;6;2;8;2126(1) 3709(1) 4360(1) 4993(1) 10146(2) 12639(2) 13549(1) 14626(1)
101450;6;2;8;2403(2) 4308(2) 4654(1) 6989(1) 7780(1) 9892(1) 10423(1) 13301(1)
102952;6;2;8;3091(1) 4777(1) 5426(2) 8557(1) 10813(1) 11832(1) 15964(1) 16001(2)
103198;4;4;8;3041(1) 3191(2) 7965(2) 7973(1) 8945(1) 9054(1) 9981(2) 15832(2)
103544;4;4;8;4306(2) 6571(2) 7648(1) 8247(1) 8726(2) 9299(2) 13713(1) 15333(1)
104014;6;2;8;1376(1) 2176(1) 3344(2) 7042(2) 7564(1) 9206(1) 10692(1) 14149(1)
104194;6;2;8;511(1) 3760(1) 5021(2) 6767(1) 7449(2) 11190(1) 13914(1) 15155(1)
104384;6;2;8;1283(1) 2942(1) 5088(2) 8039(2) 8520(1) 10054(1) 10265(1) 11599(1)
106109;6;2;8;796(1) 5039(1) 5815(1) 6851(2) 7980(2) 13032(1) 15565(1) 15885(1)
107876;6;2;8;2059(2) 3118(2) 3985(1) 5633(1) 8493(1) 9267(1) 10639(1) 14389(1)
108901;6;2;8;2962(1) 4058(1) 7056(1) 7206(2) 8327(1) 9751(2) 15578(1) 15991(1)
110336;5;3;8;330(1) 797(2) 4262(1) 9660(2) 9958(2) 11407(1) 12937(1) 13895(1)
111674;5;3;8;2879(2) 3232(2) 8847(1) 9243(1) 10366(1) 11605(1) 13075(2) 15590(1)
111962;6;2;8;73(2) 3965(2) 5008(1) 5782(1) 6202(1) 7316(1) 13418(1) 15865(1)
112977;6;2;8;441(1) 3261(1) 5646(2) 7119(1) 7684(1) 8781(1) 12486(1) 14312(2)
113551;4;4;8;2895(2) 3999(2) 4376(2) 5458(1) 6762(1) 7943(2) 12079(1) 12581(1)
114810;6;2;8;978(1) 1122(1) 1616(2) 4874(1) 8423(1) 9937(1) 15384(1) 15587(2)
118418;6;2;8;764(1) 897(1) 1622(1) 1623(1) 2829(2) 8902(1) 14663(2) 15879(1)
